Monday,Friday,Monday_growth,Friday_growth,Growth difference
2021-03-22,2021-03-26,0.67,1.57,0.9
2021-04-05,2021-04-09,1.3,0.54,-0.76
2021-04-12,2021-04-16,0.26,0.59,0.33
2021-04-19,2021-04-23,-0.37,0.36,0.73
2021-04-26,2021-04-30,0.52,-0.27,-0.79
2021-05-03,2021-05-07,0.29,1.07,0.78
2021-05-10,2021-05-14,-0.18,1.29,1.47
2021-05-17,2021-05-21,0.02,0.55,0.53
2021-05-24,2021-05-28,0.47,0.13,-0.34
2021-06-07,2021-06-11,0.1,0.12,0.02
2021-06-14,2021-06-18,0.11,-0.7,-0.81
2021-06-21,2021-06-25,0.36,0.34,-0.02
2021-06-28,2021-07-02,0.11,0.7,0.59
2021-07-12,2021-07-16,0.57,-0.14,-0.71
2021-07-19,2021-07-23,-1.93,0.88,2.81
2021-07-26,2021-07-30,0.36,-0.36,-0.72
2021-08-02,2021-08-06,0.06,0.35,0.29
2021-08-09,2021-08-13,-0.06,0.35,0.41
2021-08-16,2021-08-20,-0.13,0.74,0.87
2021-08-23,2021-08-27,1.01,0.25,-0.76
2021-08-30,2021-09-03,0.71,-0.09,-0.8
2021-09-13,2021-09-17,-0.44,-0.34,0.1
2021-09-20,2021-09-24,-2.14,0.24,2.38
2021-09-27,2021-10-01,0.0,-0.29,-0.29
2021-10-04,2021-10-08,-0.34,-0.18,0.16
2021-10-11,2021-10-15,-0.25,1.1,1.35
2021-10-18,2021-10-22,0.14,0.06,-0.08
2021-10-25,2021-10-29,0.29,0.17,-0.12
2021-11-01,2021-11-05,0.43,0.58,0.15
2021-11-08,2021-11-12,0.1,0.28,0.18
2021-11-15,2021-11-19,0.33,0.32,-0.01
2021-11-22,2021-11-26,0.15,-1.2,-1.35
2021-11-29,2021-12-03,0.52,0.03,-0.49
2021-12-06,2021-12-10,0.55,0.24,-0.31
2021-12-13,2021-12-17,-0.06,-1.25,-1.19
2021-12-27,2021-12-31,0.86,-0.33,-1.19
2022-01-03,2022-01-07,0.02,-0.27,-0.29
2022-01-10,2022-01-14,-1.23,-1.22,0.01
2022-01-24,2022-01-28,-2.81,-0.15,2.66
2022-01-31,2022-02-04,2.36,-0.25,-2.61
2022-02-07,2022-02-11,0.02,-1.6,-1.62
2022-02-14,2022-02-18,-1.53,-1.22,0.31
2022-02-28,2022-03-04,0.37,-1.54,-1.91
2022-03-07,2022-03-11,-1.16,0.16,1.32
2022-03-14,2022-03-18,-0.97,1.23,2.2
2022-03-21,2022-03-25,0.57,0.68,0.11
2022-03-28,2022-04-01,0.51,-0.85,-1.36
2022-04-04,2022-04-08,0.73,0.26,-0.47
2022-04-18,2022-04-22,-0.8,-2.74,-1.94
2022-04-25,2022-04-29,-1.78,-1.21,0.57
2022-05-02,2022-05-06,-1.93,-1.8,0.13
2022-05-09,2022-05-13,-2.05,2.29,4.34
2022-05-16,2022-05-20,0.35,-0.88,-1.23
2022-05-23,2022-05-27,1.77,2.19,0.42
2022-06-06,2022-06-10,0.44,-3.22,-3.66
2022-06-13,2022-06-17,-3.84,-0.32,3.52
2022-06-27,2022-07-01,1.06,0.32,-0.74
2022-07-11,2022-07-15,-0.77,2.17,2.94
2022-07-18,2022-07-22,0.52,0.31,-0.21
2022-07-25,2022-07-29,-0.41,1.83,2.24
2022-08-01,2022-08-05,0.26,-0.46,-0.72
2022-08-08,2022-08-12,0.69,0.48,-0.21
2022-08-15,2022-08-19,0.69,-0.81,-1.5
