Monday,Friday,Monday_growth,Friday_growth,Growth difference
2021-08-30,2021-08-27,0.71,0.25,0.46
2021-09-13,2021-09-10,-0.44,-0.49,0.05
2021-09-20,2021-09-17,-2.14,-0.34,-1.8
2021-09-27,2021-09-24,0.0,0.24,-0.24
2021-10-04,2021-10-01,-0.34,-0.29,-0.05
2021-10-11,2021-10-08,-0.25,-0.18,-0.07
2021-10-18,2021-10-15,0.14,1.1,-0.96
2021-10-25,2021-10-22,0.29,0.06,0.23
2021-11-01,2021-10-29,0.43,0.17,0.26
2021-11-08,2021-11-05,0.1,0.58,-0.48
2021-11-15,2021-11-12,0.33,0.28,0.05
2021-11-22,2021-11-19,0.15,0.32,-0.17
2021-11-29,2021-11-26,0.52,-1.2,1.72
2021-12-06,2021-12-03,0.55,0.03,0.52
2021-12-13,2021-12-10,-0.06,0.24,-0.3
2021-12-20,2021-12-17,-1.6,-1.25,-0.35
2022-01-03,2021-12-31,0.02,-0.33,0.35
2022-01-10,2022-01-07,-1.23,-0.27,-0.96
2022-01-24,2022-01-21,-2.81,-2.09,-0.72
2022-01-31,2022-01-28,2.36,-0.15,2.51
2022-02-07,2022-02-04,0.02,-0.25,0.27
2022-02-14,2022-02-11,-1.53,-1.6,0.07
2022-02-28,2022-02-25,0.37,3.12,-2.75
2022-03-07,2022-03-04,-1.16,-1.54,0.38
2022-03-14,2022-03-11,-0.97,0.16,-1.13
2022-03-21,2022-03-18,0.57,1.23,-0.66
2022-03-28,2022-03-25,0.51,0.68,-0.17
2022-04-04,2022-04-01,0.73,-0.85,1.58
2022-04-11,2022-04-08,-1.36,0.26,-1.62
2022-04-25,2022-04-22,-1.78,-2.74,0.96
2022-05-02,2022-04-29,-1.93,-1.21,-0.72
2022-05-09,2022-05-06,-2.05,-1.8,-0.25
2022-05-16,2022-05-13,0.35,2.29,-1.94
2022-05-23,2022-05-20,1.77,-0.88,2.65
2022-06-06,2022-06-03,0.44,-0.13,0.57
2022-06-13,2022-06-10,-3.84,-3.22,-0.62
2022-06-27,2022-06-24,1.06,2.51,-1.45
2022-07-11,2022-07-08,-0.77,0.24,-1.01
2022-07-18,2022-07-15,0.52,2.17,-1.65
2022-07-25,2022-07-22,-0.41,0.31,-0.72
2022-08-01,2022-07-29,0.26,1.83,-1.57
2022-08-08,2022-08-05,0.69,-0.46,1.15
2022-08-15,2022-08-12,0.69,0.48,0.21
2022-08-22,2022-08-19,-1.89,-0.81,-1.08
2022-08-29,2022-08-26,-2.18,-1.05,-1.13
2022-09-12,2022-09-09,1.27,1.82,-0.55
2022-09-19,2022-09-16,0.27,-1.65,1.92
2022-09-26,2022-09-23,-0.19,-2.2,2.01
2022-10-03,2022-09-30,0.66,-0.57,1.23
2022-10-10,2022-10-07,-1.19,-2.78,1.59
