Date,Value,Day of week,Percent change
2022-05-20,3876.87,4,-0.88
2022-05-23,3945.46,0,1.77
2022-05-24,3915.4,1,-0.76
2022-05-25,3962.18,2,1.19
2022-05-26,4029.87,3,1.71
2022-05-27,4117.96,4,2.19
2022-05-31,4136.61,1,0.45
2022-06-01,4120.2,2,-0.4
2022-06-02,4125.94,3,0.14
2022-06-03,4120.67,4,-0.13
2022-06-06,4138.98,0,0.44
2022-06-07,4122.52,1,-0.4
2022-06-08,4133.67,2,0.27
2022-06-09,4068.14,3,-1.59
2022-06-10,3937.27,4,-3.22
2022-06-13,3786.23,0,-3.84
2022-06-14,3741.93,1,-1.17
2022-06-15,3779.93,2,1.02
2022-06-16,3683.98,3,-2.54
2022-06-17,3672.29,4,-0.32
2022-06-21,3747.48,1,2.05
2022-06-22,3759.74,2,0.33
2022-06-23,3773.05,3,0.35
2022-06-24,3867.7,4,2.51
2022-06-27,3908.69,0,1.06
2022-06-28,3883.0,1,-0.66
2022-06-29,3817.76,2,-1.68
2022-06-30,3778.83,3,-1.02
2022-07-01,3790.96,4,0.32
2022-07-05,3787.12,1,-0.1
2022-07-06,3840.14,2,1.4
2022-07-07,3884.74,3,1.16
2022-07-08,3893.92,4,0.24
2022-07-11,3864.08,0,-0.77
2022-07-12,3837.88,1,-0.68
2022-07-13,3794.26,2,-1.14
2022-07-14,3758.98,3,-0.93
2022-07-15,3840.4,4,2.17
2022-07-18,3860.54,0,0.52
2022-07-19,3900.27,1,1.03
2022-07-20,3948.08,2,1.23
2022-07-21,3963.46,3,0.39
2022-07-22,3975.65,4,0.31
2022-07-25,3959.38,0,-0.41
2022-07-26,3931.98,1,-0.69
2022-07-27,3995.5,2,1.62
2022-07-28,4035.96,3,1.01
2022-07-29,4109.68,4,1.83
2022-08-01,4120.49,0,0.26
2022-08-02,4110.14,1,-0.25
2022-08-03,4137.81,2,0.67
2022-08-04,4148.35,3,0.25
2022-08-05,4129.44,4,-0.46
2022-08-08,4157.8,0,0.69
2022-08-09,4124.7,1,-0.8
2022-08-10,4194.15,2,1.68
2022-08-11,4229.66,3,0.85
2022-08-12,4250.12,4,0.48
2022-08-15,4279.34,0,0.69
2022-08-16,4301.52,1,0.52
2022-08-17,4277.63,2,-0.56
2022-08-18,4277.25,3,-0.01
2022-08-19,4242.5,4,-0.81
2022-08-22,4162.47,0,-1.89
2022-08-23,4141.9,1,-0.49
2022-08-24,4138.27,2,-0.09
2022-08-25,4174.07,3,0.87
2022-08-26,4130.35,4,-1.05
2022-08-29,4040.2,0,-2.18
